feature,mean_abs_shap
PO_net,0.9196314
TCA,0.26239255
TO_sump,0.2588162
TCI,0.23828623
TEO,0.2220547
TCO,0.21356533
TRE,0.18529901
TEI,0.12676339
TR_dis,0.11904332
TRC_sub,0.1064561
T_suc,0.09993669
Tsh_suc,0.07094322
kW,0.057443388
Tsh_dis,0.048913233
TRC,0.044366848
TEA,0.03403354
