feature,pearson_corr,abs_pearson_corr
sensor_13,-0.27694265970950777,0.27694265970950777
sensor_29,0.22501378935301486,0.22501378935301486
sensor_37,0.17717213303784238,0.17717213303784238
sensor_41,0.14391189904241478,0.14391189904241478
sensor_05,-0.13682940539422234,0.13682940539422234
sensor_09,-0.13484048473783053,0.13484048473783053
sensor_02,0.12301121012239595,0.12301121012239595
sensor_11,-0.12257080201348668,0.12257080201348668
sensor_06,-0.12230124612265023,0.12230124612265023
sensor_07,-0.11858657972961621,0.11858657972961621
sensor_18,0.11758449173235498,0.11758449173235498
sensor_17,0.11385662481317643,0.11385662481317643
sensor_24,0.11287912289483752,0.11287912289483752
sensor_01,0.10540581146805571,0.10540581146805571
sensor_39,0.10374001886221652,0.10374001886221652
sensor_42,0.09921688541155403,0.09921688541155403
sensor_14,0.09776902524934347,0.09776902524934347
sensor_19,0.09682180276533713,0.09682180276533713
sensor_20,0.09520047906529731,0.09520047906529731
sensor_16,0.09473562283643627,0.09473562283643627
sensor_22,0.09467057351458968,0.09467057351458968
sensor_28,0.09464003389500322,0.09464003389500322
sensor_21,0.09350522394838791,0.09350522394838791
sensor_25,0.08817721131602715,0.08817721131602715
sensor_51,-0.08523216744821732,0.08523216744821732
sensor_32,0.08222913424454929,0.08222913424454929
sensor_44,-0.0748988442957909,0.0748988442957909
sensor_35,-0.07117767955844867,0.07117767955844867
sensor_36,-0.06981220425800565,0.06981220425800565
sensor_08,-0.06647699804982134,0.06647699804982134
sensor_33,0.06570889539854827,0.06570889539854827
sensor_38,0.06414929682948957,0.06414929682948957
sensor_30,-0.0614781378373305,0.0614781378373305
sensor_00,0.059091008065691904,0.059091008065691904
sensor_40,-0.0555617416905946,0.0555617416905946
sensor_26,0.045197754854923465,0.045197754854923465
sensor_31,0.04365908798479785,0.04365908798479785
sensor_03,0.04041648012632956,0.04041648012632956
sensor_10,0.040088881033009956,0.040088881033009956
sensor_23,0.03917899828198282,0.03917899828198282
sensor_43,0.03481306890445056,0.03481306890445056
sensor_46,0.029671574403433564,0.029671574403433564
sensor_48,0.0289344786840896,0.0289344786840896
sensor_34,-0.027322541910752132,0.027322541910752132
sensor_27,-0.02457198329958205,0.02457198329958205
sensor_04,0.01573232443428408,0.01573232443428408
sensor_12,-0.01509826621088796,0.01509826621088796
sensor_49,0.013345189837247275,0.013345189837247275
sensor_45,-0.01235827234006876,0.01235827234006876
sensor_47,-0.0072750386245754,0.0072750386245754
