Feature,Mean_ABS_SHAP
DBDS,6.5099287
Methane,3.3372939
Acethylene,2.0247517
Hydrogen,2.0149705
Interfacial V,1.5229622
Power factor,0.94082016
CO2,0.8524405
CO,0.78381336
Nitrogen,0.7120385
Dielectric rigidity,0.70460945
Water content,0.64583355
Oxigen,0.6235361
Ethylene,0.51004153
Ethane,0.24464087
